class,offset,name,size,type
AlphaNet,0x1128,field_1128,4,
AlphaNet,0x112C,field_112C,4,
AlphaNet,0x1130,field_1130,4,
AlphaNet,0x1134,field_1134,4,
AlphaNet,0x1138,field_1138,4,
AlphaNet,0x113C,field_113C,4,
AlphaNet,0x1140,field_1140,4,
AlphaNet,0x1144,field_1144,4,
AlphaNet,0x1148,field_1148,4,
AlphaNet,0x114C,field_114C,4,
AlphaNet,0x1150,field_1150,4,
AlphaNet,0x1154,field_1154,4,
AlphaNet,0x1158,field_1158,4,
AlphaNet,0x115C,field_115C,4,
AlphaNet,0x1160,field_1160,4,
AlphaNet,0x1164,field_1164,4,
AlphaNet,0x1168,field_1168,4,
AlphaNet,0x116C,field_116C,4,
AlphaNet,0x1170,field_1170,4,
AlphaNet,0x1174,field_1174,4,
AlphaNet,0x1178,field_1178,4,
AlphaNet,0x117C,field_117C,4,
AlphaNet,0x1180,field_1180,4,
AlphaNet,0x1184,field_1184,4,
AlphaNet,0x1188,field_1188,4,
AlphaNet,0x118C,field_118C,4,
AlphaNet,0x1190,field_1190,4,
AlphaNet,0x1194,field_1194,4,
AlphaNet,0x1198,field_1198,4,
AlphaNet,0x119C,field_119C,4,
AlphaNet,0x11A0,field_11A0,4,
AlphaNet,0x11A4,field_11A4,4,
AlphaNet,0x11A8,field_11A8,4,
