address,name,shape
0x00406BD0,??_GPopup@@UAEPAXI@Z,straight_line
0x00406E60,??1Scroll@@QAE@XZ,loop
0x00406F20,??_GScroll@@UAEPAXI@Z,straight_line
0x00406F50,??1thunk1_RadioButton@@QAE@H@Z,straight_line
0x00406FF0,?on_redraw@thunk1_RadioButton@@QAEXXZ,straight_line
0x00407000,?on_mouse_move@thunk1_RadioButton@@QAEXHH@Z,straight_line
0x00407010,?on_mouse_leave@thunk1_RadioButton@@QAEXHH@Z,straight_line
0x00407020,?on_left_down@thunk1_RadioButton@@QAEXHH@Z,straight_line
0x00407030,?on_key_down@thunk1_RadioButton@@QAEHH@Z,straight_line
0x00407040,?on_left_double_click@thunk1_RadioButton@@QAEXHH@Z,straight_line
0x00407050,?on_dialog_focus@thunk1_RadioButton@@QAEXH@Z,straight_line
0x00407060,??1thunk2_RadioButton@@QAE@H@Z,loop
0x00407080,??1thunk3_RadioButton@@QAE@H@Z,loop
0x00407090,?attach@thunk1_RadioButton@@QAEHPAUGraphicWin@@HHH@Z,straight_line
0x004070A0,?on_redraw@thunk3_RadioButton@@QAEXXZ,straight_line
0x004070B0,??3BasePop@@SAXPAXI@Z,loop
0x004070C0,??3Scroll@@SAXPAXI@Z,loop
0x004070D0,??3Popup@@SAXPAXI@Z,loop
0x004070E0,??3FlatButton@@SAXPAXI@Z,loop
0x004070F0,??_Gthunk1_Dialogs@@UAEPAXI@Z,straight_line
0x00407100,??_GDialogs@@UAEPAXI@Z,straight_line
0x00407150,?on_scroll_create@thunk1_Dialogs@@QAEXXZ,straight_line
0x00407160,?on_scroll_delete@thunk1_Dialogs@@QAEHPAUScroll@@@Z,straight_line
0x00407170,?on_redraw@thunk1_Dialogs@@QAEXXZ,straight_line
0x00407180,?on_mousewheel@thunk1_Dialogs@@QAEXH@Z,straight_line
0x00407190,?on_mouse_move@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x004071A0,?on_mouse_leave@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x004071B0,?on_left_click@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x004071C0,?on_left_down@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x004071D0,?on_left_up@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x004071E0,?on_right_click@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x004071F0,?on_right_down@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x00407200,?on_right_up@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x00407210,?on_key_down@thunk1_Dialogs@@QAEHH@Z,straight_line
0x00407220,?on_left_double_click@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x00407230,?on_right_double_click@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x00407240,?on_scrolled@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x00407250,?on_scrolling@thunk1_Dialogs@@QAEXHH@Z,straight_line
0x00407260,?on_dialog_focus@thunk1_Dialogs@@QAEXH@Z,straight_line
0x00407270,?pass_dialog_focus@thunk1_Dialogs@@QAEXXZ,straight_line
0x00407280,??_Gthunk2_Dialogs@@UAEPAXI@Z,loop
0x004072A0,??_Gthunk3_Dialogs@@UAEPAXI@Z,loop
0x004072B0,?attach@thunk1_Dialogs@@QAEHPAUGraphicWin@@HHH@Z,straight_line
0x004072C0,?on_redraw@thunk3_Dialogs@@QAEXXZ,straight_line
0x00408080,??_GEditBox@@UAEPAXI@Z,straight_line
0x004080B0,sub_4080b0,straight_line
0x00408140,??_GAlphaSave@@UAEPAXI@Z,straight_line
0x00408390,??3AlphaSave@@SAXPAXI@Z,loop
0x004083A0,??3EditBox@@SAXPAXI@Z,loop
0x004083B0,??__Eg_BASEWIN@@YAXXZ,seam_forwarding
0x004083D0,??__Fg_BASEWIN@@YAXXZ,seam_forwarding
0x004083E0,??__Eg_BASEWIN_WAVE@@YAXXZ,seam_forwarding
0x00408400,??__Fg_BASEWIN_WAVE@@YAXXZ,seam_forwarding
0x00408470,sub_408470,straight_line
0x00408710,?close@BaseWin@@QAEXXZ,straight_line
0x00416DD0,?UNK4@BaseWin@@QAEXXZ,straight_line
0x0041A610,?UNK5@BaseWin@@QAEXH@Z,straight_line
0x0041AF20,?UNK6@BaseWin@@QAEXXZ,straight_line
0x0041AF30,?UNK7@BaseWin@@QAEXXZ,straight_line
0x0041AF40,?timer_callback@BaseWin@@QAAXHH@Z,straight_line
0x0041AF70,?on_left_click@BaseWin@@QAEXHH@Z,straight_line
